Open_Time,CI_Cat,CI_Subcat,Category,No_of_Related_Incidents,No_of_Related_Changes
2012-05-02 13:32:00,subapplication,Web Based Application,incident,2,0
2012-12-03 15:44:00,application,Web Based Application,incident,1,0
2012-03-29 12:36:00,application,Desktop Application,request for information,0,0
2012-07-17 11:49:00,application,Web Based Application,incident,0,0
2012-10-08 11:01:00,application,Web Based Application,incident,0,0
2012-10-08 11:27:00,application,Web Based Application,incident,0,0
2012-08-15 14:17:00,application,Web Based Application,incident,0,0
2012-08-22 16:31:00,application,Web Based Application,incident,0,0
2012-08-29 15:59:00,application,Web Based Application,incident,0,0
2012-03-09 16:04:00,application,Web Based Application,incident,0,0
2012-09-21 12:56:00,application,Web Based Application,incident,0,1
2012-01-10 10:49:00,application,Web Based Application,incident,0,0
2012-02-10 12:12:00,application,Web Based Application,incident,0,0
2012-10-15 15:50:00,application,Web Based Application,incident,2,0
2012-10-18 14:33:00,application,Server Based Application,incident,0,0
2012-10-23 12:01:00,application,Web Based Application,incident,2,0
2012-11-21 11:53:00,subapplication,Web Based Application,incident,0,0
2012-05-12 15:17:00,subapplication,Web Based Application,incident,0,0
2012-07-12 14:34:00,application,Desktop Application,incident,0,0
2012-10-12 14:44:00,application,Web Based Application,incident,0,0
2012-12-24 16:31:00,application,Web Based Application,incident,2,0
2013-01-15 15:36:00,application,Web Based Application,incident,1,0
2013-01-22 16:38:00,application,Web Based Application,incident,0,0
2013-01-23 14:39:00,application,Web Based Application,incident,0,0
2013-01-30 16:37:00,subapplication,Web Based Application,incident,0,0
2013-01-31 17:27:00,subapplication,Web Based Application,incident,1,0
2013-04-02 14:38:00,application,Web Based Application,incident,0,0
2013-06-02 14:07:00,application,Server Based Application,request for information,0,0
2013-08-02 10:47:00,application,Server Based Application,request for information,0,0
2013-02-18 11:59:00,application,Server Based Application,request for information,0,0
2013-02-19 11:52:00,application,Web Based Application,incident,0,0
2013-02-20 10:14:00,application,Web Based Application,incident,0,0
2013-02-25 16:03:00,subapplication,Web Based Application,incident,0,0
2013-02-26 16:44:00,application,Web Based Application,incident,0,0
2013-02-28 12:23:00,application,Web Based Application,incident,0,0
2013-02-28 16:49:00,application,Web Based Application,incident,0,0
2013-01-03 10:19:00,subapplication,Web Based Application,request for information,0,0
2013-04-03 12:31:00,subapplication,Web Based Application,incident,0,0
2013-05-03 13:58:00,application,Web Based Application,incident,0,2
2013-11-03 09:08:00,application,Server Based Application,incident,0,0
2013-12-03 09:54:00,subapplication,Web Based Application,incident,0,0
2013-03-15 15:25:00,application,Web Based Application,incident,0,0
2013-03-21 14:54:00,application,SAP,request for information,0,0
2013-03-26 12:23:00,subapplication,Web Based Application,incident,1,1
2013-03-27 10:07:00,subapplication,Web Based Application,incident,1,0
2013-03-04 12:11:00,application,SAP,request for information,0,0
2013-04-04 12:33:00,application,SAP,incident,0,0
2013-05-04 10:17:00,application,Server Based Application,incident,0,0
2013-05-04 10:19:00,application,Web Based Application,incident,0,0
2013-09-04 12:49:00,application,Web Based Application,incident,0,0
2013-10-04 13:20:00,application,Web Based Application,incident,0,0
2013-10-04 15:13:00,application,Web Based Application,incident,0,0
2013-04-16 11:07:00,application,SAP,request for information,1,0
2013-04-16 14:51:00,application,Client Based Application,incident,1,0
2013-04-17 09:06:00,application,Server Based Application,incident,1,1
2013-04-17 14:31:00,application,Server Based Application,incident,0,0
2013-04-17 16:20:00,application,Server Based Application,request for information,1,0
2013-04-19 08:26:00,subapplication,Citrix,incident,0,0
2013-04-22 12:07:00,application,Standard Application,incident,0,0
2013-04-24 15:24:00,application,Web Based Application,incident,0,0
2013-04-25 10:20:00,application,Server Based Application,incident,0,0
2013-04-25 14:37:00,application,Web Based Application,incident,1,0
2013-04-25 14:51:00,application,Web Based Application,incident,0,0
2013-04-26 15:33:00,application,Web Based Application,incident,0,0
2013-01-05 11:47:00,application,Web Based Application,incident,0,0
2013-03-05 12:00:00,application,Web Based Application,incident,0,0
2013-06-05 10:11:00,subapplication,Web Based Application,incident,0,0
2013-06-05 13:50:00,application,Web Based Application,incident,0,0
2013-07-05 11:44:00,application,Server Based Application,incident,0,0
2013-07-05 11:44:00,application,Server Based Application,incident,0,0
2013-07-05 14:04:00,application,Web Based Application,incident,0,0
2013-07-05 15:04:00,application,Client Based Application,incident,0,0
2013-07-05 15:12:00,application,Web Based Application,incident,1,0
2013-10-05 11:04:00,application,Server Based Application,request for information,0,0
2013-05-13 11:19:00,application,Web Based Application,incident,0,0
2013-05-15 12:34:00,application,Web Based Application,incident,0,0
2013-05-22 00:42:00,application,Server Based Application,incident,0,0
2013-05-22 10:09:00,application,Web Based Application,incident,0,0
2013-05-22 11:21:00,application,Server Based Application,incident,0,0
2013-05-22 12:01:00,application,Web Based Application,incident,0,0
2013-05-22 14:15:00,application,Web Based Application,incident,0,0
2013-05-23 10:48:00,application,Server Based Application,incident,0,0
2013-05-23 14:38:00,application,Web Based Application,incident,0,0
2013-05-24 08:05:00,application,Server Based Application,incident,0,0
2013-05-24 09:34:00,application,Web Based Application,incident,0,0
