CI_Cat,CI_Subcat,Impact,Urgency,Category,No_of_Reassignments,Handle_Time_hrs,No_of_Related_Interactions,High_Priority
subapplication,Web Based Application,4,4,incident,26,3871691111.0,1,1
application,Web Based Application,3,3,incident,33,4354786389.0,1,1
application,Desktop Application,NS,3,request for information,3,4843119444.0,1,1
application,Web Based Application,4,4,incident,13,4321833333.0,1,1
application,Web Based Application,4,4,incident,2,3383903333.0,1,1
application,Web Based Application,4,4,incident,4,3383436944.0,1,1
application,Web Based Application,4,4,incident,2,3703191389.0,1,1
application,Web Based Application,4,4,incident,5,3294624167.0,1,1
application,Web Based Application,NS,3,incident,2,862777778.0,1,1
application,Web Based Application,4,4,incident,2,3211526944.0,1,1
application,Web Based Application,4,4,incident,6,3067449167.0,1,1
application,Web Based Application,4,4,incident,8,1322619167.0,1,1
application,Web Based Application,4,4,incident,5,1132428333.0,2,1
application,Web Based Application,4,4,incident,17,6675416667.0,1,1
application,Server Based Application,3,3,incident,1,3114358056.0,1,1
application,Web Based Application,4,4,incident,3,2837950556.0,1,1
subapplication,Web Based Application,4,4,incident,1,1223748333.0,1,1
subapplication,Web Based Application,4,4,incident,7,3792777778.0,1,1
application,Desktop Application,3,3,incident,17,2626733889.0,2,1
application,Web Based Application,5,5,incident,5,9317808333.0,2,1
application,Web Based Application,4,4,incident,6,1930483333.0,1,1
application,Web Based Application,4,4,incident,4,2781911944.0,1,1
application,Web Based Application,4,4,incident,2,2150785833.0,1,1
application,Web Based Application,4,4,incident,12,2142712778.0,1,1
subapplication,Web Based Application,4,4,incident,7,1118525.0,1,1
subapplication,Web Based Application,4,4,incident,3,2760606389.0,1,1
application,Web Based Application,4,4,incident,4,2447233889.0,1,1
application,Server Based Application,5,5,request for information,0,3885555556.0,2,1
application,Server Based Application,5,5,request for information,11,1852881944.0,1,1
application,Server Based Application,5,5,request for information,2,2774555556.0,2,1
application,Web Based Application,4,4,incident,9,205036.0,1,1
application,Web Based Application,4,4,incident,2,1935710556.0,1,1
subapplication,Web Based Application,4,4,incident,1,2764633056.0,3,1
application,Web Based Application,4,4,incident,2,61125.0,1,1
application,Web Based Application,4,4,incident,2,8867166667.0,2,1
application,Web Based Application,4,4,incident,0,1917175278.0,1,1
subapplication,Web Based Application,5,5,request for information,3,2333.0,2,1
subapplication,Web Based Application,4,4,incident,2,4911166667.0,1,1
application,Web Based Application,3,3,incident,4,2162222222.0,1,1
application,Server Based Application,5,5,incident,25,8739805556.0,2,1
subapplication,Web Based Application,4,4,incident,8,3197894444.0,1,1
application,Web Based Application,4,4,incident,4,1922361111.0,2,1
application,SAP,5,5,request for information,30,6839630556.0,1,1
subapplication,Web Based Application,3,3,incident,15,1564190278.0,2,1
subapplication,Web Based Application,4,4,incident,9,37655.0,3,1
application,SAP,5,5,request for information,37,1459033333.0,1,1
application,SAP,4,4,incident,26,1806278611.0,2,1
application,Server Based Application,4,3,incident,7,1924111111.0,1,1
